highlights,comments
Page 1370,Take a daily time-out from entertaining and instructing your child. You’ll want to start out small say just five minutes at a time. Then work your way up to where you can do this for a whole Saturday and Sunday. 
Page 1372,During these time-outs just let the children be. Don’t instruct them explain stuff to them or give them toys (or screens) to play with. Let them figure it all out for themselves. Just go about your business and let them tag along with you. Do chores. Do work. Do nothing. Lie on the sofa and read a magazine. At first it might be easier to try this outside of the house. So take the kids to a park and bring a book or some work to do. Sit on a bench and be quiet. If the children whine or complain that they’re bored just ignore it. They’ll figure out a way to stimulate 
Page 1377,If it helps think 20-20-20: For 20 minutes each day I’m at least 20 feet from my children and for 20 minutes I’m silent. 
Page 1380,Minimize (maybe even scrap?) all the child-centered activities. Don’t worry your child will still partake in plenty of these activities at school and with friends and family. But make it a goal to say no to as many birthday 
Page 1381,parties zoo trips playdates and “enrichment outings” as possible. Young children really don’t need these activities. 
Page 1393,I also really love playgrounds if you can believe it. I love watching the birds reading a book or writing in a notebook. I love that playgrounds bring together kids of all ages. But I don’t like playing on a playground. That turns the activity from family-centered to child-centered in my mind. So Rosy and I go to the playground often but I work while she plays. Period. 
Page 1395,Another great litmus test is how your child behaves after an activity. Are they calmer and more cooperative or agitated and more antagonistic? If it’s the latter drop the activity. 
Page 1398,An activity isn’t worth conflict. Children need less conflict not more. 
Page 1404,Maximize exposure in the adult world. 
Page 1410,Just last week Rosy spent three hours (!) at an eye appointment with very little fussing and chaos. But when she acts up I remind her: “This is not a place to play. It is a privilege to be here and if you aren’t a big enough girl yet you will have to leave.” When she touches or plays with a piece of equipment I remind her: “These aren’t toys. This is a big girl’s place where we don’t play.” 
Page 1414,Throw out toys and all other child-centered objects. 
Page 1418,oodles 
Page 1421,Use toys to teach acomedido. 
Page 1430,Use toys to teach sharing. When you go visit friends ask your child to pick out a toy or book to give to the other family. 
Page 1433,Reconsider your role as a parent and your child’s role in the family. Is your role to keep the child busy and entertained? Or is it to show them life skills and teach them how to work together with others? 
Page 1438,just make sure they’re around while the work is being accomplished. If they resist remind them that they’re part of the family and families work together. 
Page 1439,When you invite the child to help remember the invitation is always to work together. You’re not asking the child to perform the task alone. 
Page 1441,Every task becomes an opportunity to work together and reinforce the child’s membership in the family. 
Page 1441,(Also remember the invitation to help is not an order. The child can say no if they want.) 
Page 1442,Start training a coworker. 
Page 1488,This approach consists of four core elements that provide the foundation for the parent-child relationship: togetherness encouragement autonomy and minimal interference. 
Page 1491,rein 
Page 1520,If you think about it how can we expect a child to help us if we aren’t helping them when they’re in need? (Or expect that child to help a sibling?) 
Page 1547,For now just realize the less you demand of a child’s attention—through orders directions and corrections—the less the child will demand your attention. 
Page 1548,Togetherness is easy. It’s relaxing. It flows. It’s what happens when we all stop trying to control each other’s actions and simply let each other be. 
Page 1551,“Let her be. She isn’t cranky. She’s fine.” 
Page 1636,misshapen. 
Page 1647,had what Ed calls “intrinsic” motivation—the drive to write came from inside me and not from an external reward. With intrinsic motivation the activity is enjoyable on its own; it is “internally rewarding.” 
Page 1652,External influences such as rewards and punishments can actually weaken intrinsic motivation. Sticker charts promises of ice cream time-outs threats of punishment or other consequences often “undermine this type of motivation.” 
Page 1658,Western psychology finds that three ingredients are needed to spark intrinsic motivation. 
Page 1659,Ingredient 1: Sense of connectedness. Connectedness is the feeling of being related to others of belonging to a team or family. 
Page 1664,Ingredient 2: Sense of autonomy. I’ve mentioned autonomy before and it’s so important (so very important) that we’ll devote a whole chapter to it later. 
Page 1669,Ingredient 3: Sense of competency. In order to stay motivated at a task a child needs to have a sense that they’re competent enough to do the job. 
Page 1671,So there’s a sweet spot: the task is challenging enough to keep you interested but also easy enough that you feel competent doing it. This sweet spot is where intrinsic motivation likely occurs. 
Page 1678,“Sometimes they may use facial expressions to show their approval. And these nonverbal expressions are important. They are clear signs of approval” 
Page 1685,fizzle 
Page 1686,When a child’s every positive action garners a “Good job” or “Nice” then praise can undermine their intrinsic motivation making children less likely to do a task in the future. 
Page 1687,Praise has another pitfall—a big one. It can cause strife among siblings because praise breeds competition. 
Page 1689,The lack of praise may be one reason Maya siblings work well together (and fight less than American siblings). They don’t need to compete with one another for verbal kudos. 
Page 1692,That tool is “acknowledgment.” 
Page 1694,Step 3: Acknowledge A Child’s Contribution 
Page 1694,Instead of praising children Maya parents acknowledge or accept the child’s idea or contribution to an activity—no matter how inconsequential ridiculous or misshapen that contribution (or tortilla) might be. 
Page 1699,Acknowledgment from parents fuels the child’s interest in a task says psychologist Lucia Alcalá. “I think that it gives the child motivation to help more. A child sees that their contribution matters and they’re helping the family. That’s more powerful than any praise.” 
Page 1701,For example when Alexa makes a misshapen tortilla Maria may fix it slightly before putting it on the skillet. But she doesn’t try to force Alexa to make a better one. She doesn’t lecture Alexa about how to do it. And she 
Page 1702,doesn’t grab the little girl’s hands to help her. Instead Maria acknowledges and values Alexa’s contribution to lunch by accepting the tortillas as she made them. Maria has confidence that eventually Alexa will master tortilla making through practice and watching. Why rush the process? (Rushing would only cause conflict and stress.) 
Page 1712,Instead—and this is key!—the parent pays attention to what the child is doing and then builds off the child’s idea. As a result the parent sets up a beautiful cycle of collaboration wherein the child or parent contributes an idea and the other takes the idea and expands it. Lucia calls this “fluid collaboration.” It’s when two people are working seamlessly together like a single organism with four arms. 
Page 1715,In those moments there’s minimal talking minimal resistance and minimal conflict. 
Page 1719,They don’t stop the child from doing something even if it’s wrong. 
Page 1753,Try It 3: Learn to Motivate Children 
Page 1754,Sometimes a simple comment like “That’s a good idea” is all a child needs to feel included and motivated to stay involved even if you don’t use their idea at all. 
Page 1756,A Maya parent could say “uts xan” which literally translates to “also good.” 
Page 1764,Instead the parent rewards the child for their general helpfulness “as being a contributing member of the family” as Lucia and her colleagues write. 
Page 1781,Point out helpfulness (and unhelpfulness). Instead of praising children for helping with a request switch to acknowledging overall helpfulness. 
Page 1783,A simple statement like “That’s helpful” is all you need when a child shows acomedido or voluntarily helps. 
Page 1790,Acknowledge unhelpful behavior as well. Don’t be afraid to point out when the child isn’t being helpful. “Parents often say sarcastically ‘Don’t be too acomedido’ or ‘Don’t help too much’ ” Lucia says. “That signals to the child to help.” 
Page 1798,Explain the value the task holds for the entire family. Try explaining to the child why helping out is so important—or essential—in the home. 
Page 1800,admonish 
Page 1803,“Rosy your father and I are working hard to make this house nice for everyone. We are trying our best. As a family member you need to work hard and try your best.” 
Page 1805,Connect the helpfulness to maturity. If a child takes initiative and does a chore voluntarily acknowledge their growth and progress by saying something 
Page 1806,like “Oh you’re starting to learn how to contribute” or “You cleaned up your toys because you’re a big girl.” 
Page 1811,Let the child have fun with the chore. I’m not a big fan of making chores “fun” or turning them into a game. I cannot sustain that energy for very long and I don’t enjoy acting like a three-year-old. But if Rosy comes up with her own way to make the chore more playful I don’t stop her. 
Page 1820,Threaten natural consequences. If you need to use a threat try to make the punishment as close to a natural consequence as possible. For example sometimes I tell Rosy “If we 
Page 1821,don’t clean up the kitchen ants will come and take over the counters. Do you want ants in our food?” Or I say “If we don’t wash your lunch box you will have to eat from a dirty stinky box tomorrow. Do you want that?” 
Page 1823,Point out when you help them. With Rosy I find that pointing out reciprocal responsibility works well to boost her motivation. For example one night she doesn’t help with the dishes. When I ask her to come help she says “I’m tired” and runs away. Ten minutes later she comes back and asks me to help her find her lovie. Then I say something like “Wait did 
Page 1826,you help me with the dishes just a few minutes ago?” 
Page 1828,Learn to value a child’s contribution. When a child comes over to help with a task listen to their idea. 
Page 1831,Whatever you do suppress the urge to resist. Refrain from interfering with the child or changing their course. If you step back and let a child “take over” a task the child will be way more motivated to help out again in the future than if you reject minimize or ignore their ideas and contributions. • Measure how much you praise your children (and how much you resist them). 
Page 1843,realized I needed to stop talking so much (including praising her) and make a real effort to pay attention to her words and actions. (Psychological anthropologist Suzanne Gaskins had given me similar advice a few months earlier. 
Page 1845,“American parents need 
Page 1846,to stop talking so much and listen more to their children” she said.) 
Page 1846,Have praise-free days. Once you realize how much you praise your child try pruning it back. Start small: Set a timer for fifteen minutes and try not to verbally praise the child until the timer goes off. Work your way up to two hours and eventually entire days. 
Page 1854,The steps are: Practice Model Acknowledge 1. Practice. Give kids oodles of practice helping out around the house and working together especially the young ones. Assign tasks invite them over to watch and encourage their desire to participate. 2. Model. Give children their membership cards. Immerse them in your day-to-day life so they can gradually learn chores by watching and can feel like full-fledged members of the family. 3. Acknowledge. When a child tries to help accept their contributions and value their ideas. Respect their vision. 
Page 1861,Tell the child when they are learning the value. Point out the presence of the value (or its absence) in others’ actions. Connect their learning to “growing up” or maturing. 
Page 1886,If a child misbehaves they need more calmness and more touch. 
Page 1906,sojourn 
Page 1930,equanimity 
Page 1971,reindeer 
Page 1971,moss 
Page 1987,ubiquitous 
Page 2014,“Your daughter must be sick of you. That is why she is misbehaving” Sally tells me as we’re having a cup of tea at her mother’s kitchen table. “Rosy needs to be around other kids. You need a break.” 
Page 2044,executive function. Basically it’s a suite of mental processes that help you act thoughtfully instead of impulsively. 
Page 2049,dripping 
Page 2087,Across the board all the moms and dads mention one golden rule of Inuit parenting: “Never yell at a child” says seventy-four-year-old Sidonie Nirlungayuk who was born in a sod house not far from Kugaaruk. “Our parents never yelled at us never ever.” 
Page 2095,“When children are little it doesn’t help to raise your voice 
Page 2096,or get angry at them. It will just make your own heart rate go up.” 
Page 2098,“With little kids you often think they’re pushing your buttons but that’s not what’s going on. They’re upset about something and you have to figure out what it is.” 
Page 2101,“Getting angry at a child has no purpose” says eighty-three-year-old Martha Tikivik. Born in an igloo on Baffin Island she has raised six children. “Getting angry isn’t going to solve your problem. It only stops communication between the child and the mom.” 
Page 2117,“I think that’s why white children don’t listen. Parents have yelled at the children too much.” 
Page 2119,Peaceful Parent Happy Kids. 
Page 2120,“When we yell at children we are training them not to listen” she tells me. “A lot of times parents will say ‘But he won’t listen until I raise my voice’ and I say ‘Okay. Raise your voice to get him to listen and then you’ll always have to raise your voice.’ ” 
Page 2124,are training them to yell when they get upset and that yelling solves problems” she says. 
Page 2125,Think back to the formula—to train a child to behave in a certain way we need two main ingredients and a dash of a third: practice modeling and if necessary acknowledging. When we yell and get angry at children we model being angry. Since children often yell back at us we give them oodles of practice at yelling and getting angry at us. And then if we yell back again after they yell at us we acknowledge and accept their anger. 
Page 2129,“Kids learn emotional regulation from us” 
Page 2151,mayhem. 
Page 2151,Entropy 
Page 2157,fiery 
Page 2157,belly 
Page 2165,do-si-do. 
Page 2166,it’s a two-step process: 1. Stop talking. Just stay quiet. Don’t say anything. 2. Learn to have less—or even no anger toward children. (Note: I’m not talking about controlling your anger when it arises but rather generating less anger in the first place.) 
Page 2187,As we’ll explore in the next section remaining quiet and calm helps the child do the same. 
Page 2189,Now when I feel anger toward Rosy I simply close my mouth. 
Page 2191,Walk away. For a few minutes even a few seconds I just walk away. You can leave the room. Get 
Page 2197,Ignoring children makes a powerful tool for disciplining. 
Page 2215,ire. 
Page 2230,Over and over again Inuit elders offer three rules to help parents keep a cool head when children lose theirs: • Expect children to misbehave. 
Page 2232,Expect them to be rude violent and bossy. Expect them to make a mess do tasks improperly and sometimes be an overall pain in the butt. 
Page 2233,Don’t take it personally (or think you’re a bad parent). It’s just how children are made. And it’s your job as the parent to teach them how to behave acceptably and control their emotions. 
Page 2237,thwart 
Page 2242,“Little children don’t have understanding yet” she says. “They don’t understand what’s right and wrong what respect is how to listen. Parents must teach them.” 
Page 2257,The Utku [Inuit] expect little children to be easily angered (urulu qiquq ningaq)… and to cry easily when disturbed (huqu) because they have no ihuma: no mind thought reason or understanding. Adults say they are not concerned (huqu naklik) by a child’s irrational fears and rages because they know there is nothing really wrong.… 
Page 2269,Stop arguing with small children. Sidonie Nirlungayuk age seventy-four puts it quite eloquently: “Even when a child mistreats you you don’t fight back with a young child” she says. “Just leave the point alone. Whatever is wrong… eventually the behavior will get better.” 
Page 2274,apron 
Page 2286,The same is true in the Yucatán and Tanzania. Parents simply don’t argue with children. Instead they make a request and wait silently for the child to comply. And if the child refuses the parents may make a comment walk away or turn their attention elsewhere.II 
Page 2292,Okay now we have two rules for reducing our anger toward children: expect misbehavior and never argue. 
Page 2304,Encourage Never Force 
Page 2305,Forcing a child will never help. Tell them about their mistakes honestly. Eventually they will learn. 
Page 2312,In many hunter-gatherer cultures parents rarely scold or punish a child. They rarely insist that a child comply with a request or behave in a certain way. They believe that trying to control a child prevents their development and simply stresses the parent-child relationship. 
Page 2321,“Parenting is a two-way street” she says. Adults don’t like being forced to do something or act a certain way; children feel the same way. 
Page 2338,Just note: encouragement and training sometimes take time. These aren’t quick fixes but they are steps toward deep changes that will persist as the child grows. Along the way you’ll give your child a gift that helps them throughout their lifetime—strong executive function. 
Page 2396,For example to help children and toddlers learn to share with a new baby sibling some Maya parents will tap into the child’s desire to be a “big sister” or “big brother” and to take care of younger children. “It’s your younger sibling the poor thing. Give him a little” the parent will say implying that the child needs to help the baby sibling. 
Page 2424,“bumblebee” 
Page 2433,In Kugaaruk the higher the energy a child brings to the situation the lower in energy the parent goes. 
Page 2437,Instead the parents show the child how to be calm by being calm themselves. 
Page 2438,They make very few movements (movement is stimulating). And they show very little expression on their faces (again emotion is stimulating). 
Page 2447,Why is this strategy so darn effective? It’s pretty simple: children’s emotions—and energy level—mirror those of their parents says child psychotherapist Tina Payne Bryson who has coauthored two New York Times–bestselling parenting books. 
Page 2449,“Emotions are contagious” Tina says. The human brain contains neurons and circuitry with the sole purpose of mirroring other people’s emotions. 
Page 2451,So if you want your child to have high energy then have high energy yourself. 
Page 2454,There’s no question about it: parenting with calmness works. And here’s the amazing part: the sheer act of the parent being calm has a massive influence on an upset child not just in the moment but over the long run. Over time the child learns to calm herself down without the parent’s aid Tina says. 
Page 2458,Think back to that darn formula: practice + model + acknowledge = skill learned. 
Page 2465,“We need to model calmness. We have to be regulating our own internal states first before we expect our children to learn to regulate theirs.” 
Page 2482,Toss 
Page 2492,And Sally through physicality has calmed him—while also showing him who’s strong and loving (aka who’s boss). 
Page 2548,The moms practice an incredibly sophisticated psychological tool with children from ages one to sixteen: they teach them to replace anger with awe. 
Page 2558,As Lisa views it emotions act a bit like muscles. If you don’t use them you lose them. And the more you flex particular ones the stronger they become. 
Page 2559,So the more you experience awe—the more you flex this neural muscle in your brain—the easier it becomes to access this 
Page 2560,emotion in the future. When you start to feel an unproductive emotion such as anger you can more easily swap that negative feeling for a positive one such as awe. When you feel annoyance you can swap it for gratitude. 
Page 2575,“When children are small and out of control it is because they have been in the house or igloo too long” she says. “Let them be outside for a few minutes.” 
Page 2577,“Little children get cranky when they have been inside too long” 
Page 2583,In my experience Rosy no longer wants me to pick her up when she gets upset. So instead I gently take her hand and lead her outside. If I say anything at all I tell her something like “Let’s get some fresh air. You’ll feel better in a few minutes.” But in general you don’t need any words. Your calm gentle action is enough. 
Page 2608,Remind yourself that children don’t have the emotional skills that we adults do. We need to show them how calmness works over and over again before we can expect them to master the concept. 
Page 2610,“Children need to think about what they’re doing. They always need to think” 
Page 2615,In other words you use these tools for encouraging and guiding versus demanding and forcing. 
Page 2651,“Tell them the consequences of their behavior. Tell them the truth” says Theresa Sikkuark. 
Page 2662,Parents tell children the consequences of their actions. 
Page 2668,“The goal of Inuit education is to cause thought.” 
Page 2673,Inuit parents think more highly of children than that. They believe that even young children can think for themselves—or at least they can learn to. So they give a child useful information about their behavior. They give the child a reason to think twice about continuing to do it. 
Page 2687,“Too loud. You will give me a headache.” When she doesn’t share a toy with a friend I say “Kian won’t want to come over and visit if you don’t share.” And so on. (I always try to say it as calmly and emotionless as possible. Any sternness or condemnation will just start a fight.) 
Page 2697,turn commands criticisms and feedback into questions. 
Page 2727,“Who’s being disrespectful?” 
Page 2746,But Maria’s suggestion has a broad meaning behind it one that I can put to use in our San Francisco home: misbehavior is a child’s way of asking for more responsibility more ways to contribute to the family and more freedom. When a child breaks rules acts demanding or seems “willful” their parents need to put them to work. 
Page 2758,“Looks like Mango is hungry. You know little girls can’t make requests if they’re not helpful. Go feed the dog and then we’ll fix the song.” 
Page 2763,“They don’t like to be unemployed. Makes them nervous.” 
Page 2770,They do what they want the child to do. 
Page 2775,2. They gently help the child do what is needed. 
Page 2778,3. They change the environment so the child does not need to change their behavior. 
Page 2787,I think this low-talk parenting style is a big reason kids in these cultures seem so calm. Fewer words create less resistance. Fewer words cause less stress. 
Page 2793,After I observe how well this low-talk parenting works over and over again both in the Arctic and in the Yucatán I begin to question my own verbose parenting style. Why do I constantly talk to Rosy? Narrate? Ask? Supply choices? Taking action seems way more powerful. 
Page 2795,boisterous 
Page 2809,Offering options frequently generates negotiations unneeded decisions and eventually tears. 
Page 2813,Mastering the Art of Ignoring 
Page 2833,Children’s emotions become what they are by other people’s response to them.” 
Page 2834,So parents can teach children which emotions aren’t valued in the home by not responding to those emotions. 
Page 2836,We engage with a misbehaving child ask them questions and issue demands. “If you say ‘Stop it’ that’s attention” Batja says. 
Page 2838,Remember the formula. The stronger we respond to a child’s misbehavior—even in a negative way—the more we acknowledge that behavior and in essence the more we train the child to behave that way. 
Page 2855,“Look around the house and see what needs to be done” one mom told me in Kugaaruk. “There’s always a way that children can help out in the house.” 
Page 2867,This is a tough one because these words are entrenched in our dialogue with children. But even cutting out half of your dos and don’ts will have a big impact on your relationship with your child. 
Page 2869,The next time you would like to change your child’s behavior pause for a moment. Wait before you talk. Think about why you are issuing this command. What is the consequence of their behavior? Why are you trying to change it? Or even what do you fear will happen if the child continues that behavior? 
Page 2872,Then tell the child the answer to one of these questions and let them be. That’s it! You don’t need to say anything else. 
Page 2895,You simply aren’t responding emotionally to their misbehavior. 
Page 2951,When a child is upset or defying the parent the child is too emotionally charged to listen. So there’s no reason to try to teach the child a “big lesson” in those moments. “You have to remain calm and wait for the child to calm down. Then you can teach the child” she says. 
Page 3088,critters 
Page 3122,wink 
Page 3222,Practice. (Remember the first ingredient to teaching a skill or value? Practice.) 
Page 3245,After meeting Myna I start to see Rosy’s misbehavior in a different light. I realize that many times when I think she is “pushing boundaries” (or my buttons) she is actually trying to practice the proper behavior. She keeps repeating the wrong behavior over and over again until she finally makes the right decision. 
Page 3263,Try It 7: Discipline Through Dramas 
Page 3264,converting problems into play and discipline into practice. 
Page 3265,cornucopia 
Page 3266,1. Make sure neither you nor the child feels upset angry or emotionally charged when you work with these tools. Play happens when everyone is relaxed and peaceful. 
Page 3267,2. Keep the tone fun and light. Try to keep a smile on your face or a wink in your eye. This is not the time for lessons or lectures. This is the time for kids to feel safe to misbehave and try out new skills without any worry of upsetting parents. 
Page 3344,Hadzabe 
Page 3354,herringbone. 
Page 3587,tartness 
Page 3628,queasy. 
Page 3638,“Deciding what another person should do no matter what his age is outside the Yequana vocabulary of behaviors” Jean Liedloff writes about the Yequana tribe in Venezuela. “A child’s will is his motive force.” 
Page 3643,But they parent from a different vantage: they believe that children know best how to learn and grow. 
