words,type,synonym,trad,french_phrase,english_phrase
untethered,adj,(not tied with a rope or chain) / (action / thought: unrestricted) / figurative (digital devices: not linked) (objet électronique),détaché / non lié,,
riddle,n,(conundrum: type of joke),devinette / charade,John et Matthew ont passé la soirée à jouer aux devinettes (or: aux charad,John and Matthew whiled away the evening asking each other riddles.
flaunt [sth],vtr,(show off),exhiber / montrer / étaler / faire étalage de,,Look who's flaunting a huge engagement ring! 
stymie [sth],vtr,(thwart),contrecarrer / faire obstacle à,,
tadpole,n,(frog or toad larva),têtard,,
lifelinen,,(rope used in sea rescues) cordage / filin,corde d'assurance / corde de sécurité / corde de sauvegarde / lien vital,Le capitaine du bateau a envoyé un cordage au passager tombé par-dessus bord.,The ship's captain threw a lifeline to the passenger who had fallen overboard. / This road is the town's lifeline and must be kept open despite the snow.
mercilessly,adv,[tease / exploit],impitoyablement,,
booze,n,(drink, get drunk) (familier),alcool / picoler,Charlie a apporté de l'alcool et des snacks à la soirée. / Emily et ses amis sont encore en train de picoler et de jouer les commères.,Charlie brought booze and snacks to the party. / Emily and her friends are boozing and gossiping again.
booze-up,n,informal UK (alcoholic drinking session) (familier) (visit pubs, bars to drink alcohol),beuverie / cuite / faire la tournée ,,Fancy a booze-up with the lads tonight? 
quibble,n,(petty remark or objection),(petite) critique / objection,,
disparage [sb],vtr,(speak badly of),dénigrer / décrier,,You shouldn't disparage your boss; you never know who is listening.
godspeed,n,(good fortune / prosperity),bonne route / bon voyage,,
lackluster (US),adj,(dull / lacking shine),terne / sans éclat, sans intérêt,,This poor quality diamond has a lackluster surface.
stubbornness,,,obstination / entêtement,,
dwarf,n,(person with dwarfism),nain / naine,D'abord j'ai cru qu'il y avait un enfant devant moi dans la queue mais ensuite j'ai vu son visage et me suis rendu compte qu'il s'agissait d'un nain. / Blanche-Neige vivait avec sept nains., At first I thought there was a child in front of me in the queue but then I saw his face and realized he was a dwarf. / Snow White lived with seven dwarves.
dwarf [sth/sb],vtr,(be bigger than),éclipser / faire paraître petit vtr / être gigantesque par rapport à,,
irk [sb],vtr,(irritate / annoy),agacer / irriter,,
vent [sth],vtr,([sb]: anger /  frustration),passer sa colère sur [qqn] / évacuer / vider son sac / se défouler / pousser une gueulante,Parfois quand Linda a passé une mauvaise journée au travail elle a besoin de passer sa colère sur quelqu'un (or: d'évacuer sa frustration) quand elle rentre chez elle. / Adam apologised for going on and on about how annoying his colleagues had been that day; he was only venting.,Sometimes, when Linda has a bad day at work, she needs to vent her frustration when she gets home. / Adam s'est excusé d'avoir bassiné tout le monde ce jour-là en parlant de ses collègues énervants ; c'est juste qu'il vidait son sac.
spark,n,(fiery particle),étincelle / faire des étincelles,L'incendie a été déclenché par une étincelle provenant du feu. / Tony a rapproché les deux fils, créant une étincelle. / Le mécanicien a inspecté le moteur pour voir si les bougies faisaient des étincelles.,The blaze was started by a spark from the fire. / Tony brought the two wires together, creating a spark. / The mechanic checked the engine to see if the plugs were sparking.
tingly,adj,(stinging slightly),qui picote / excité / émoustillé,,
whence,adv,literary (from where),d'où,Le roi a demandé à savoir d'où le messager était venu. / Dis moi pieux chevalier d'où venait ta bonne fortune ? / Je viens vous dire adieu d'où ma tenue de cavalière. / Elle était originaire d'Italie d'où ses vêtements aux couleurs gaies.,The king demanded to know whence the messenger had come. / Tell me good knight whence came your good fortune? / I come to bid thee farewell whence my riding-habit. / She hails from Italy whence too her gay apparel.
peter,n,US slang penis, (familier) enfant : pénis / quéquette,,The children teased Bobby that they could see his peter through his pants.
brittle,adj,(hard but breaks easily),cassant / instable / craquelant / rire nerveux, fragile,Le docteur a dit qu'Allan avait les os fragiles. / Betty avait une vision instable du monde. / Irritée  la voix du professeur en devenait craquelante.,The doctor said that Alan had brittle bones. / Betty had a brittle grip on reality. / The teacher's voice was brittle with irritation.
brittle,n,(candy with nuts),nougatine,Pour Noël Mlle Hendricks nous a offert de la nougatine.,Mrs. Hendricks gave our family some brittle at Christmas. 
falter,vi,strength: fail / speech: be halting / move unsteadily,faiblir (détermination) / fléchir / bafouiller / hésiter / chanceler / vaciller,Fred a tenu le poids au-dessus de sa tête jusqu'à ce que ses bras commencent à faiblir. / Sarah commença à expliquer en quoi elle méritait une augmentation à son chef mais se mit à bafouiller en voyant son expression excédée. / Le cheval a vacillé et a raté son saut.,Fred held the weight above his head until his arms began to falter. / Sarah started explaining to her boss why she deserved a pay rise but she faltered when she saw the angry look on his face.  / The horse faltered and didn't manage to clear the jump.
slur,n,(insult /  defamation),insulte / affront,Emma était furieuse contre l'insulte à son caractère.,Emma was furious at the slur on her character.
booth n,,(à une foire) stand / cabine,Le club de couture a un stand à la foire du comté cette année.,The knitting club has a booth at the county fair this year.
crag,n,(rugged or jutting rock),rocher escarpé,Le chamois bondit à travers les rochers escarpés.,
inflection,,inflexion (voice: stress / intonation),modulation / intonation,,He spoke with very little inflexion in his voice.
stir [sth],vtr, (mix) mélanger,Mélange tous les ingrédients avec une cuillère.,Stir all of the ingredients together with a spoon.
fickle,adj,(person) volage / changeant / inconstant / capricieux,Ryan était inconstant : il se découvrait une nouvelle passion tous les jours.,Ryan was a fickle person; he pursued a new and different passion every day. 
jigsaw,n,(type of saw),scie sauteuse,Le menuisier s'est servi d'une scie sauteuse pour travailler dans le détail.,The carpenter used a jigsaw for the detail work.
jigsaw,adj,(pattern) en puzzle loc,,The puzzle was cut in a jigsaw pattern.
herald [sth],vtr,(announce / signal),annoncer / proclamer,Les élections annoncent un changement politique majeur dans le pays.,The elections herald a major political change in the country.
herald,n,(person: messenger) / figurative (sign of [sth]),héraut / messager / signe avant-coureur / signe annonciateur,La reine a envoyé un héraut pour délivrer son message. / Les hirondelles sont un signe avant-coureur fiable du printemps.,The Queen sent a herald to deliver the message. / Robins are a dependable herald of spring.
scrub [sth/sb],vtr,(rub to clean),frotter / (la vaisselle) récurer / (les chaussures / les ongles) brosser
realtor,,Realtorn US (estate agent),agent immobilier,,
piggyback ride,n,informal (ride on [sb]'s back),porter [qqn] sur son dos / porter [qqn] à califourchon,,The child got a piggyback ride from her older brother.
piggyback [sth] on [sth],,piggyback [sth] onto [sth] vtr + prep,US informal figurative (carry / attach to [sth] else),se servir de / tirer parti de,,If I can piggyback on your idea, I'd like to add something.
tidbit (US) / titbit (UK),n,(morsel of food),friandise / figurative (piece of information) information / (familier) info / (commérage) potin | scoop,,When I was younger my mother wouldn't let me leave one tidbit of food on my plate at mealtimes. / I only read a tidbit so I don't know all the details of the story.
goose bumps,,goosebumps (skin's response to cold | fear),chair de poule,Ce film te donnera la chair de poule dès la première scène.,This film will give you goosebumps from the first scene.
coarse,adj,(rough),grossier | grossière / (cheveux) épais / (sel) gros grosse adj / (langue) râpeux râpeuse,Le chaton me lécha la main avec sa langue râpeuse.,The kitten licked my hand with its coarse tongue. / Grind the coffee to a coarse and even ground
heap,n,(pile, mound),tas | amas (important) morceau, amoncellement / (de linge, de papier,...) pile,Le travailleur a empilé les roches pour en faire un tas.,The worker piled a bunch of rocks into a heap.
trough,n,(depression, low point),dépression | creux,,
perusal,n,(attentive reading),lecture attentive,,I didn't notice anything missing in my perusal of the report.
grasshopper,n,(insect),sauterelle,,
hindrance,n,(impediment: progress),obstacle | entrave | frein,,
soothe [sb] or [sth],vtr,(comfort | calm),calmer | apaiser (une personne),,
shield,n,(armour),bouclier,Le chevalier a levé son bouclier pour se protéger du coup d'épée de son ennemi.,The knight raised his shield to protect himself from his enemy's sword blow.
barter / barter for [sth],vi,(trade, haggle),troc / faire du troc / troquer,Vu qu'il était fauché Sam a essayé de faire du troc pour pouvoir manger. / Fiona a troqué cette couverture tissée à la main. / À une époque, les biens et services s'obtenaient grâce au troc.,Since he had no money Sam tried to barter in order to get food. / Fiona bartered for a hand-woven blanket. / In ancient times, goods and services were obtained through barter.
scrooge,n,figurative / informal (miserly person) / harpagon (soutenu),(familier) grippe-sou / rapiat / pingre,, 
amenable,adj,(agreeable / willing),(personne) souple / serviable / maniable / (personne) disposé à faire qch / prêt à faire qch / (à un traitement) réactif à qch,Nous partirons cet après-midi si tes parents sont disposés à nous laisser partir.,We'll make the trip this afternoon if your parents are amenable.
amenable to [sth],adj + prep,(willing),disposé à / prêt à,Ben is amenable to changing the date of the party.,Ben est prêt à repousser le jour de la fête.
outlier,n,(detached person or thing),cas particulier / cas unique / personne/chose qui fait figure d'exc
kernel,n,(meat of nut) / pine kernel / a kernel of truth : un fond de vérité,(peu courant, d'un fruit à coque) amande / noix / pignon / (figuré : d'un débat) cœur / (de vérité) fond / noyau,Dan a cassé les coquilles de noix et a mis les cerneaux dans le bol. / La batteuse sépare les graines de leur enveloppe. / Le service clients est le cœur de l'entreprise. / Le noyau gère les requêtes d'entrées et de sorties de l'application dans votre ordinateur.,Dan broke the shells of the nuts and put the kernels into the bowl. / The thresher separates the kernels from their husks. / The customer service department is the kernel of the company. / The kernel manages input/output requests from applications on your computer.
albeit,conj,(if only),bien que / quoique,,
hunch,n,(slight idea),pressentiment / intuition,Amy avait le pressentiment que quelque chose n'allait pas quand sa sœur l'a appelée en plein milieu de la journée.,Amy had a hunch that something was wrong when her sister called in the middle of the day.
pantry,n,(larder: food storage cupboard or room),(placard) garde-manger / (pièce dans maison plus modeste) cellier,,Our house has a nice big pantry to store all our food in.
sprain [sth],vtr,(injure a joint),se fouler qch / se faire une entorse à,John se tenait sur un rocher qui bougeait et il s'est foulé la cheville (or: il s'est fait une entorse à la cheville). / Le joueur de football a dû se retirer du match à cause d'une entorse.,John stood on a loose rock and sprained his ankle. / The football player had to pull out of the game because of a sprain.
ankle,n,(joint where leg meets foot),cheville,,
scatter,vi,(go in all directions) / (sprinkle, strew [sth]),se disperser / s'éparpiller / éparpiller qch sur qch / éparpiller qch à travers qch,Le tailleur a fait tomber sa boîte d'épingles et elles se sont éparpillées partout. / J'ai éparpillé quelques pétales de rose sur son,The tailor dropped his box of pins and they scattered everywhere. / I scattered a few rose petals over her pillow while she was in the bathroom.
ladybug,n (US),(UK) → ladybird,coccinelle,On dit que l'on peut déterminer l'âge d'une coccinelle en comptant les pois qu'elle a.,Some people say that you can tell a ladybird's age by counting its spots.
